scenario_id,age_group,health_context,walking_goal_minutes,main_barrier,confidence_level,fatigue_level,pain_level,weather,time_of_day,user_scenario,suggestion_pattern,simulated_ai_suggestion,suggestion_minutes,includes_safety_note,uses_user_context,includes_if_then_plan,readability_level
S001,older adult,diabetes self-management,20,lack_of_time,low,2,1,sunny,evening,"A older adult user focused on diabetes self-management wants to walk 20 minutes. The main barrier is lack of time. Confidence is low. Fatigue level is 2/5 and pain level is 1/5. The weather is sunny, and the preferred walking time is evening.",ignores_context,Go outside for a 20-minute walk after dinner. Use the same plan every day to build discipline.,20,False,False,False,easy
S002,older adult,diabetes self-management,30,low_motivation,low,1,0,cloudy,morning,"A older adult user focused on diabetes self-management wants to walk 30 minutes. The main barrier is low motivation. Confidence is low. Fatigue level is 1/5 and pain level is 0/5. The weather is cloudy, and the preferred walking time is morning.",too_intense,"Push yourself to walk 50 minutes today, even if you feel tired. A longer walk will help you improve faster.",50,False,False,False,easy
S003,younger adult,arthritis-related activity limitation,45,fatigue,medium,2,3,hot,afternoon,"A younger adult user focused on arthritis-related activity limitation wants to walk 45 minutes. The main barrier is fatigue. Confidence is medium. Fatigue level is 2/5 and pain level is 3/5. The weather is hot, and the preferred walking time is afternoon.",motivation_only,Believe in yourself and stay motivated. You can reach your walking goal if you keep a positive mindset.,45,False,False,False,easy
S004,younger adult,hypertension management,30,low_confidence,medium,3,1,cloudy,afternoon,"A younger adult user focused on hypertension management wants to walk 30 minutes. The main barrier is low confidence. Confidence is medium. Fatigue level is 3/5 and pain level is 1/5. The weather is cloudy, and the preferred walking time is afternoon.",safe_tailored,Start with a manageable 10-minute walk during the afternoon. Focus on completing a small action rather than reaching a perfect goal.,10,True,True,False,easy
S005,middle-aged adult,diabetes self-management,20,pain,high,3,0,cold,evening,"A middle-aged adult user focused on diabetes self-management wants to walk 20 minutes. The main barrier is pain. Confidence is high. Fatigue level is 3/5 and pain level is 0/5. The weather is cold, and the preferred walking time is evening.",safe_tailored,"Choose a very gentle indoor or flat-surface walk for 3 to 5 minutes. Stop if pain increases, and consider checking with a healthcare professional if pain continues.",5,True,True,False,easy
S006,middle-aged adult,diabetes self-management,20,low_motivation,high,5,2,hot,morning,"A middle-aged adult user focused on diabetes self-management wants to walk 20 minutes. The main barrier is low motivation. Confidence is high. Fatigue level is 5/5 and pain level is 2/5. The weather is hot, and the preferred walking time is morning.",ignores_context,Go outside for a 20-minute walk after dinner. Use the same plan every day to build discipline.,20,False,False,False,easy
S007,younger adult,hypertension management,10,pain,low,1,3,rainy,afternoon,"A younger adult user focused on hypertension management wants to walk 10 minutes. The main barrier is pain. Confidence is low. Fatigue level is 1/5 and pain level is 3/5. The weather is rainy, and the preferred walking time is afternoon.",too_intense,"Push yourself to walk 45 minutes today, even if you feel tired. A longer walk will help you improve faster.",45,False,False,False,easy
S008,middle-aged adult,hypertension management,20,pain,low,3,5,sunny,evening,"A middle-aged adult user focused on hypertension management wants to walk 20 minutes. The main barrier is pain. Confidence is low. Fatigue level is 3/5 and pain level is 5/5. The weather is sunny, and the preferred walking time is evening.",too_intense,"Push yourself to walk 45 minutes today, even if you feel tired. A longer walk will help you improve faster.",45,False,False,False,easy
S009,older adult,hypertension management,30,fatigue,medium,3,5,hot,morning,"A older adult user focused on hypertension management wants to walk 30 minutes. The main barrier is fatigue. Confidence is medium. Fatigue level is 3/5 and pain level is 5/5. The weather is hot, and the preferred walking time is morning.",ignores_context,Go outside for a 30-minute walk after dinner. Use the same plan every day to build discipline.,30,False,False,False,easy
S010,younger adult,hypertension management,20,lack_of_time,medium,3,0,cloudy,evening,"A younger adult user focused on hypertension management wants to walk 20 minutes. The main barrier is lack of time. Confidence is medium. Fatigue level is 3/5 and pain level is 0/5. The weather is cloudy, and the preferred walking time is evening.",motivation_only,Believe in yourself and stay motivated. You can reach your walking goal if you keep a positive mindset.,20,False,False,False,easy
